"ID","NAME","LONG","LAT","ALT","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
19588,"TIGER-CREEK-P-H",-120.483,38.45,718,5.7,7.9,9,11.6,15.5,19.8,23.3,23.1,20.3,15.7,9.3,5.1
19590,"ALTURAS-RANGER-STATION",-120.55,41.5,1341,-1.7,0.9,3.2,6.1,10.5,15,18.6,17.9,13.8,8.6,2.7,-1.1
19592,"PISMO-BEACH",-120.633,35.133,24,11.1,12.1,12.3,13.3,14.2,15.5,16.1,16.7,16.8,16,13.7,11.4
19593,"SAN-LUIS-OBISPO",-120.633,35.233,64,11.5,12.5,12.5,13.7,14.7,16.8,18.5,18.9,18.9,17.4,14.4,11.7
19594,"SIERRA-CITY",-120.633,39.566,1289,3.5,4.5,5.5,8.5,12.6,17,20.5,20.2,17.3,12.9,6.4,3.6
19596,"BOWMAN-DAM",-120.65,39.45,1635,2,2.3,2.9,5.6,9.9,14.8,18.6,18.4,15.5,11.1,4.8,2.2
19598,"PRIEST-VALLEY",-120.7,36.183,701,6.1,7.5,8.5,10.6,14.5,18.8,22.1,21.7,18.8,14.3,8.9,6.1
19601,NA,-120.733,38.733,840,7.7,8.8,9.3,12.1,16.5,21.3,25.4,25.1,22,17.2,10.5,7.6
19603,"GEORGETOWN-RANGER-STN",-120.783,38.916,915,6,7.2,8,10.6,15,19.7,23.5,23.4,20.5,15.8,9.4,6.3
19606,"PLACERVILLE",-120.8,38.733,576,5.8,7.5,8.9,11.5,15.4,19.7,23.1,22.9,19.8,15,9.1,5.9
